"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"PFN1",1.0841797528377e-46,0.534552442722267,0.994,0.96,3.63427894948725e-42,"NK","PFN1"
"HAVCR2",1.43859607613991e-46,0.713485550529163,0.188,0.014,4.82231790682859e-42,"NK","HAVCR2"
"RPS5",9.35509097401143e-46,-0.508004140454543,0.916,0.988,3.13592004539837e-41,"NK","RPS5"
"GZMA",1.00510283593891e-44,0.700262510398287,0.906,0.723,3.36920521635082e-40,"NK","GZMA"
"HLA-C",1.01893928944053e-44,0.377580098365706,1,0.998,3.41558639213361e-40,"NK","HLA-C"
"IL321",2.77310555097001e-44,-0.697555401403273,0.544,0.925,9.29572711740657e-40,"NK","IL32"
"RPS15",3.95476471362911e-44,-0.345031876951476,1,0.999,1.32567667965561e-39,"NK","RPS15"
"PRSS23",5.48472492735683e-44,0.88205139709181,0.33,0.073,1.83853464289928e-39,"NK","PRSS23"
"SIGLEC7",1.26656802407483e-43,0.55271686565792,0.146,0.006,4.24566267350124e-39,"NK","SIGLEC7"
"IFITM2",1.02664528227671e-42,0.712760673644175,0.877,0.746,3.44141765071975e-38,"NK","IFITM2"
"RPLP1",1.65577968355142e-42,-0.366757001591013,0.994,1,5.55033907723272e-38,"NK","RPLP1"
"RPL5",2.25888959627348e-41,-0.450817877457112,0.932,0.985,7.57202381566833e-37,"NK","RPL5"
"CD247",6.41441146547429e-41,0.910379467968153,0.66,0.392,2.15017486734164e-36,"NK","CD247"
"RPL38",1.81434048752044e-40,-0.42639463065035,0.955,0.994,6.08185074821726e-36,"NK","RPL38"
"RPL8",4.31994591916072e-40,-0.405106937173318,0.961,0.994,1.44808907156187e-35,"NK","RPL8"
"RPS26",4.52481453488406e-40,-0.331943919401931,0.994,0.999,1.51676308023848e-35,"NK","RPS26"
"RPL6",1.00455789886109e-39,-0.387229196744541,0.977,0.995,3.36737853277225e-35,"NK","RPL6"
"RPL18",3.69756673077456e-39,-0.402555375319062,0.987,0.992,1.23946134382294e-34,"NK","RPL18"
"RPL17",3.75961949288271e-38,-0.523040327481505,0.812,0.959,1.26026205020921e-33,"NK","RPL17"
"DDIT4",6.06039400621383e-38,0.86261871249861,0.55,0.261,2.03150467482294e-33,"NK","DDIT4"
"RPSA",6.29298618164755e-38,-0.425892643188559,0.948,0.99,2.10947189795008e-33,"NK","RPSA"
"MT-CO1",1.58835800351065e-37,0.299509538526371,1,0.998,5.32433486356805e-33,"NK","MT-CO1"
"IL2RB",1.68227727163727e-37,0.898684358774413,0.443,0.168,5.63916164225531e-33,"NK","IL2RB"
"RPL37",2.90322277800864e-37,-0.345030906497137,0.987,0.998,9.73189307416275e-33,"NK","RPL37"
"RPL14",6.73276844651969e-37,-0.393394849358552,0.961,0.995,2.25689131095786e-32,"NK","RPL14"
"TPT1",1.46128805990368e-36,-0.382326222545931,0.974,0.996,4.89838370560313e-32,"NK","TPT1"
"RPS7",2.57817956748675e-36,-0.358398925772691,0.974,0.996,8.64231572817233e-32,"NK","RPS7"
"TTC381",1.32529949549015e-35,0.741240902137729,0.269,0.057,4.44253643883254e-31,"NK","TTC38"
"PTPN12",3.06037824544626e-35,0.698739785625574,0.236,0.043,1.02586939165604e-30,"NK","PTPN12"
"RAP1B",5.0980279351617e-35,0.73251553670066,0.709,0.482,1.70890994414555e-30,"NK","RAP1B"
"JAK1",5.25302399999037e-35,0.798363797549247,0.647,0.407,1.76086617503677e-30,"NK","JAK1"
"LAT2",7.59180841811216e-35,0.594916831162582,0.172,0.02,2.54485009983538e-30,"NK","LAT2"
"HSH2D",1.03942792753268e-34,0.752170177744949,0.239,0.046,3.4842663558823e-30,"NK","HSH2D"
"GFOD1",1.2359599627443e-33,0.573502772040847,0.168,0.02,4.14306139111518e-29,"NK","GFOD1"
"RPL15",1.46263023579511e-33,-0.311395560473328,0.997,0.998,4.9028828134088e-29,"NK","RPL15"
"RPL29",5.34637846896193e-33,-0.363570407614727,0.971,0.991,1.79215952658073e-28,"NK","RPL29"
"CTBP2",5.70489675817145e-33,0.542019959106633,0.168,0.02,1.91233844230665e-28,"NK","CTBP2"
"HLA-B",9.20032692830657e-33,0.265912015804093,1,0.999,3.08404158963764e-28,"NK","HLA-B"
"GZMK1",1.85051265461363e-32,-1.10585242560152,0.104,0.478,6.20310346953034e-28,"NK","GZMK"
"EFHD2",5.86560181511047e-32,0.774287505318269,0.502,0.237,1.96620838444318e-27,"NK","EFHD2"
"APMAP",1.82860990598514e-31,0.730045219434233,0.485,0.226,6.12968326585277e-27,"NK","APMAP"
"ARPC2",3.92498779020456e-31,0.523798998504526,0.9,0.795,1.31569515715447e-26,"NK","ARPC2"
"ACTB",4.27735640607138e-31,0.458978437383718,1,0.997,1.43381264087919e-26,"NK","ACTB"
"CD3E",8.04663045350334e-31,-0.701531474256073,0.23,0.652,2.69731099431885e-26,"NK","CD3E"
"CD38",5.50274781650231e-30,0.445670521065646,0.117,0.008,1.84457609556974e-25,"NK","CD38"
"RPL4",8.05334407087899e-30,-0.415040845686707,0.883,0.97,2.69956146599935e-25,"NK","RPL4"
"CYBA",8.49288117029512e-30,0.569288604623388,0.88,0.778,2.84689869709463e-25,"NK","CYBA"
"CX3CR11",1.03928884986354e-29,0.792964338759181,0.372,0.132,3.48380015362759e-25,"NK","CX3CR1"
"RPL22",1.27546744633942e-29,-0.427417357805123,0.893,0.965,4.27549442687436e-25,"NK","RPL22"
"VIM",1.49778991318573e-29,-0.760636905498528,0.233,0.628,5.02074156798987e-25,"NK","VIM"
"CD1601",6.13382827755292e-29,0.835506345151993,0.327,0.108,2.05612057691851e-24,"NK","CD160"
"TMSB101",7.90167783274953e-29,0.31545376663559,1,0.998,2.64872142631597e-24,"NK","TMSB10"
"ITGB2",9.50977608461214e-29,0.612667539593279,0.757,0.552,3.18777204132284e-24,"NK","ITGB2"
"RPL37A",1.10355811308444e-28,-0.280039041972381,0.994,0.998,3.69923715087036e-24,"NK","RPL37A"
"ZEB21",3.32714781324822e-28,0.728195098163693,0.405,0.157,1.11529321847893e-23,"NK","ZEB2"
"LAIR2",7.44794697121394e-28,0.617391005126615,0.217,0.046,2.49662630422062e-23,"NK","LAIR2"
"TRGC21",2.3920414655863e-27,-1.0101126522193,0.201,0.539,8.01836219679183e-23,"NK","TRGC2"
